route_id,trip_id,trip_headsign,trip_direction_name
10660,1178776,SHERMAN,Eastbound
10660,1178777,SHERMAN,Eastbound
10660,1178758,SHERMAN,Eastbound
10660,1178759,SHERMAN,Eastbound
10660,1178760,SHERMAN,Eastbound
10660,1178761,SHERMAN,Eastbound
10660,1178762,SHERMAN,Eastbound
10660,1178763,SHERMAN,Eastbound
10660,1178764,SHERMAN,Eastbound
10660,1178765,SHERMAN,Eastbound
10660,1178766,SHERMAN,Eastbound
10660,1178767,SHERMAN,Eastbound
10660,1178768,SHERMAN,Eastbound
10660,1178769,SHERMAN,Eastbound
10660,1178770,SHERMAN,Eastbound
10660,1178771,SHERMAN,Eastbound
10660,1178772,SHERMAN,Eastbound
10660,1178773,SHERMAN,Eastbound
10660,1178774,SHERMAN,Eastbound
10660,1178775,SHERMAN,Eastbound
10660,1178778,SHERMAN,Eastbound
10660,1178779,SHERMAN,Eastbound
10660,1178780,SHERMAN,Eastbound
10660,1178803,UNIVERSITY ROW VIA SHERMAN,Westbound
10660,1178804,UNIVERSITY ROW VIA SHERMAN,Westbound
10660,1178805,UNIVERSITY ROW VIA SHERMAN,Westbound
10660,1178806,UNIVERSITY ROW VIA SHERMAN,Westbound
10660,1178785,UNIVERSITY ROW VIA SHERMAN,Westbound
10660,1178786,UNIVERSITY ROW VIA SHERMAN,Westbound
10660,1178787,UNIVERSITY ROW VIA SHERMAN,Westbound
10660,1178788,UNIVERSITY ROW VIA SHERMAN,Westbound
10660,1178789,UNIVERSITY ROW VIA SHERMAN,Westbound
10660,1178790,UNIVERSITY ROW VIA SHERMAN,Westbound
10660,1178791,UNIVERSITY ROW VIA SHERMAN,Westbound
10660,1178792,UNIVERSITY ROW VIA SHERMAN,Westbound
10660,1178793,UNIVERSITY ROW VIA SHERMAN,Westbound
10660,1178794,UNIVERSITY ROW VIA SHERMAN,Westbound
10660,1178795,UNIVERSITY ROW VIA SHERMAN,Westbound
10660,1178796,UNIVERSITY ROW VIA SHERMAN,Westbound
