route_id,route_short_name,service_id,trip_id,trip_headsign,direction_id,trip_direction_name,block_id,shape_id,shape_code,trip_type,trip_sort,trip_short_name,block_transfer_id,wheelchair_accessible,bikes_allowed
10661,38,109_WKD,1178835,JENIFER,0,Eastbound,207301,63923,38hI,,35160,,,1,1
10661,38,109_WKD,1178836,JENIFER,0,Eastbound,207300,63923,38hI,,36960,,,1,1
10661,38,109_WKD,1178837,JENIFER,0,Eastbound,207302,63923,38hI,,38760,,,1,1
10661,38,109_WKD,1178838,JENIFER,0,Eastbound,207301,63923,38hI,,40560,,,1,1
10661,38,109_WKD,1178839,JENIFER,0,Eastbound,207300,63923,38hI,,42360,,,1,1
10661,38,109_WKD,1178840,JENIFER,0,Eastbound,207302,63923,38hI,,44160,,,1,1
10661,38,109_WKD,1178841,JENIFER,0,Eastbound,207301,63923,38hI,,45960,,,1,1
10661,38,109_WKD,1178842,JENIFER,0,Eastbound,207300,63923,38hI,,47760,,,1,1
10661,38,109_WKD,1178843,JENIFER,0,Eastbound,207302,63923,38hI,,49560,,,1,1
10661,38,109_WKD,1178844,JENIFER,0,Eastbound,207301,63923,38hI,,51300,,,1,1
10661,38,109_WKD,1178845,JENIFER,0,Eastbound,207300,63923,38hI,,53100,,,1,1
10661,38,109_WKD,1178846,JENIFER,0,Eastbound,207302,63923,38hI,,54900,,,1,1
10661,38,109_WKD,1178847,JENIFER,0,Eastbound,207301,63923,38hI,,56640,,,1,1
10661,38,109_WKD,1178848,JENIFER,0,Eastbound,207300,63923,38hI,,58440,,,1,1
10661,38,109_WKD,1178849,JENIFER,0,Eastbound,207302,63923,38hI,,60300,,,1,1
10661,38,109_WKD,1178850,JENIFER,0,Eastbound,207301,63923,38hI,,62100,,,1,1
10661,38,109_WKD,1178851,JENIFER,0,Eastbound,207300,63923,38hI,,63960,,,1,1
10661,38,109_WKD,1178854,UNIVERSITY ROW,1,Westbound,207300,63926,38iH,,23520,,207300,1,1
10661,38,109_WKD,1178855,UNIVERSITY ROW,1,Westbound,207302,63926,38iH,,25080,,207302,1,1
10661,38,109_WKD,1178856,UNIVERSITY ROW,1,Westbound,207301,63926,38iH,,26880,,207301,1,1
10661,38,109_WKD,1178857,UNIVERSITY ROW,1,Westbound,207300,63926,38iH,,28800,,207300,1,1
10661,38,109_WKD,1178858,UNIVERSITY ROW,1,Westbound,207302,63926,38iH,,30600,,207302,1,1
10661,38,109_WKD,1178859,UNIVERSITY ROW,1,Westbound,207301,63926,38iH,,32400,,207301,1,1
